expression	#355
expressed	#89
cancer	#75
cells	#70
role	#57
overexpressed	#51
lines	#47
mutations	#36
associated	#35
increased	#29
levels	#27
detected	#26
overexpression	#26
activation	#25
significance	#24
mutation	#24
patients	#23
target	#22
found	#20
factor	#20
tumors	#19
line	#19
pathway	#18
inhibits	#18
receptor	#17
observed	#17
involved	#17
effects	#17
effect	#17
demonstrated	#16
induced	#16
promotes	#15
sensitizes	#15
marker	#15
gene	#14
cancers	#13
up-regulated	#13
results	#13
targeting	#13
activated	#12
association	#12
analyzed	#12
pattern	#12
signaling	#12
treatment	#11
stained	#11
proteins	#11
decreased	#11
upregulated	#11
examined	#11
enhanced	#11
induces	#11
regulates	#10
production	#10
lower	#10
prevalence	#10
inhibitors	#10
level	#10
plays	#10
regulation	#10
activity	#10
express	#10
transfected	#10
inhibited	#9
using	#9
detection	#9
play	#9
identified	#9
determined	#9
increase	#9
evaluated	#8
analysis	#8
up-regulation	#8
correlation	#8
overexpress	#8
invasion	#8
silencing	#8
targets	#8
xenografts	#8
downregulated	#8
suppresses	#8
upregulation	#8
relationship	#8
therapy	#8
factors	#8
investigated	#7
%	#7
contributes	#7
produce	#7
markers	#7
function	#7
occur	#7
down-regulated	#7
mutated	#7
genes	#7
increases	#7
correlated	#7
loss	#7
incidence	#7
mediated	#7
studied	#7
molecules	#6
rate	#6
down-regulation	#6
adenocarcinoma	#6
polymorphism	#6
progression	#6
investigate	#6
implicated	#6
strategy	#6
mrna	#6
reported	#6
expressions	#6
regulator	#6
common	#6
inhibition	#6
migration	#6
regulate	#6
restoration	#6
frequent	#6
growth	#6
profile	#5
elevated	#5
patterns	#5
exposed	#5
codon	#5
model	#5
induction	#5
characterized	#5
carcinogenesis	#5
included	#5
rates	#5
adenocarcinomas	#5
mechanism	#5
tumor	#5
treated	#5
measured	#5
reduced	#5
over-expression	#5
inhibitor	#5
potential	#5
uptake	#5
studies	#5
value	#5
efficacy	#5
evaluation	#4
impact	#4
involvement	#4
compared	#4
linked	#4
signal	#4
alterations	#4
sensitize	#4
affects	#4
localization	#4
variants	#4
revealed	#4
drives	#4
status	#4
knockdown	#4
positive	#4
carcinoma	#4
findings	#4
inducing	#4
accumulation	#4
differentiation	#4
contribution	#4
protein	#4
distinguish	#4
promote	#4
alpha-2	#4
occurred	#4
controlled	#4
resulted	#4
atm	#4
over-expressed	#4
negative	#4
polymorphisms	#4
tissue	#4
suppression	#4
presence	#4
resistance	#4
caused	#4
performed	#4
influence	#4
discriminate	#4
interaction	#4
functions	#3
regulated	#3
accuracy	#3
exposure	#3
cultured	#3
sensitization	#3
invasiveness	#3
partner	#3
essential	#3
represent	#3
differentiate	#3
suppressor	#3
secretion	#3
useful	#3
divided	#3
emt	#3
implicate	#3
radiosensitization	#3
kinase	#3
system	#3
overexpressing	#3
conserved	#3
ability	#3
specimens	#3
report	#3
screened	#3
stimulated	#3
suggests	#3
survey	#3
cause	#3
effective	#3
suppressed	#3
stimulation	#3
desensitization	#3
due	#3
events	#3
peptide	#3
abundant	#3
containing	#3
melanoma	#3
seen	#3
protects	#3
frequency	#3
antigens	#3
assessed	#3
detect	#3
conclusion	#3
binding	#3
lost	#3
study	#3
confirmed	#3
gain	#3
transfers	#3
reduces	#3
assess	#3
distinction	#3
staining	#3
harbor	#3
shown	#3
described	#3
development	#3
survival	#3
biomarker	#3
modulates	#3
contribute	#3
immunotherapy	#3
reintroduction	#3
oncoprotein	#3
sublines	#2
predispose	#2
promoted	#2
b2	#2
introduced	#2
complex	#2
phosphorylation	#2
unlikely	#2
hsp27	#2
require	#2
lacked	#2
,	#2
cdkn2a	#2
rescued	#2
