expression	#1420
cells	#324
cancer	#320
expressed	#279
role	#269
levels	#201
associated	#190
patients	#159
lines	#156
overexpressed	#146
marker	#136
mutations	#130
overexpression	#101
detected	#93
gene	#90
found	#87
risk	#87
effects	#82
factor	#79
carcinoma	#78
cancers	#77
tumors	#77
observed	#72
effect	#72
line	#72
expressions	#70
correlated	#69
value	#69
increased	#69
results	#68
target	#68
carcinomas	#66
significance	#66
receptor	#64
elevated	#61
induces	#60
antigen	#59
play	#58
identified	#57
promotes	#57
analysis	#56
genes	#55
breast	#54
biomarker	#54
express	#53
activity	#50
demonstrated	#49
upregulated	#49
up-regulated	#49
level	#49
markers	#48
involved	#48
association	#47
activation	#45
evaluated	#44
status	#43
mutation	#42
examined	#42
loss	#42
protein	#42
targeting	#42
relationship	#41
analyzed	#41
positive	#40
regulation	#40
studied	#40
treatment	#39
plays	#39
correlation	#38
decreased	#38
function	#37
induced	#37
related	#37
inhibition	#37
pathway	#36
biomarkers	#36
%	#35
polymorphism	#35
downregulated	#35
down-regulated	#35
enhanced	#35
tumor	#34
lower	#34
inhibits	#33
frequency	#33
presence	#33
induce	#32
transfected	#32
apoptosis	#32
detection	#31
therapy	#30
resistance	#30
production	#30
regulates	#29
alterations	#29
determined	#29
signaling	#27
inhibited	#27
enhances	#27
sensitivity	#27
regulated	#26
investigated	#26
assessed	#26
reported	#25
measured	#25
damage	#25
factors	#25
knockdown	#24
involvement	#24
rates	#24
contribute	#24
reduced	#23
growth	#23
suggest	#23
receptors	#23
,	#22
evaluation	#22
mrna	#22
roles	#22
concentrations	#21
common	#21
sensitizes	#21
down-regulation	#21
treated	#21
contributes	#20
increases	#20
model	#20
tested	#20
response	#20
upregulation	#19
contribution	#19
polymorphisms	#19
invasion	#19
implicated	#19
type	#19
silencing	#18
induction	#18
proliferation	#18
predictor	#18
analysed	#17
promote	#17
useful	#17
downregulation	#17
distribution	#17
up-regulation	#16
prevalence	#16
suppression	#16
suppressor	#16
decrease	#16
patterns	#16
