expression	#8138
cancer	#3293
cells	#1785
role	#1606
associated	#1477
protein	#1375
expressed	#1278
levels	#1174
patients	#1055
gene	#911
mutations	#881
genes	#823
overexpressed	#795
cancers	#729
overexpression	#627
lines	#618
factor	#546
risk	#527
marker	#506
association	#501
polymorphism	#466
found	#462
tumors	#455
increased	#452
detected	#444
status	#436
receptor	#429
promotes	#420
correlated	#410
effect	#406
activity	#406
effects	#389
significance	#377
observed	#371
identified	#363
polymorphisms	#348
target	#327
analysis	#305
upregulated	#304
carcinoma	#302
line	#301
value	#301
play	#299
level	#291
plays	#290
activation	#288
results	#287
mutation	#284
inhibits	#284
pathway	#276
carcinomas	#276
loss	#267
examined	#265
up-regulated	#265
markers	#264
regulation	#263
expressions	#249
treatment	#245
analyzed	#245
induces	#243
elevated	#238
express	#234
resistance	#233
involved	#230
inhibition	#229
relationship	#225
induced	#223
function	#213
signaling	#213
correlation	#211
down-regulated	#208
antigen	#207
regulates	#204
decreased	#199
downregulated	#190
therapy	#189
investigated	#188
studied	#186
evaluated	#185
targeting	#182
biomarker	#180
involvement	#180
detection	#180
inhibited	#179
reduced	#171
methylation	#168
performed	#163
lower	#161
contribute	#158
demonstrated	#157
transfected	#155
positive	#154
inhibitors	#152
%	#149
knockdown	#148
assessed	#147
suppresses	#146
growth	#146
related	#144
measured	#143
impact	#142
factors	#142
determined	#140
roles	#139
induction	#137
presence	#131
regulated	#130
alterations	#130
variants	#128
model	#127
contribution	#126
frequency	#126
apoptosis	#124
implicated	#123
associations	#122
proteins	#122
study	#121
influence	#115
silencing	#112
upregulation	#111
production	#111
p-glycoprotein	#110
detect	#109
tumor	#108
interaction	#107
contributes	#107
correlates	#107
down-regulation	#106
increase	#106
biomarkers	#104
enhanced	#104
promote	#103
common	#102
reported	#99
sensitivity	#99
pattern	#98
proliferation	#97
mrna	#96
sensitizes	#96
identify	#96
localization	#95
progression	#94
targets	#92
evaluation	#92
enhances	#92
increases	#91
suppressor	#90
rate	#90
distribution	#90
kinase	#89
invasion	#89
genotyped	#89
activated	#88
antibodies	#88
induce	#88
relevance	#87
event	#87
concentrations	#86
shown	#86
suppressed	#84
response	#84
suppression	#83
secretion	#83
downregulation	#83
analysed	#82
inhibitor	#82
screened	#81
migration	#81
up-regulation	#80
metastasis	#80
promoted	#80
phosphorylation	#80
linked	#80
rates	#79
prevalence	#77
exhibited	#77
carriers	#76
testing	#76
using	#76
compared	#76
receptors	#76
inhibit	#75
over-expressed	#73
breast	#73
treated	#73
variation	#73
stained	#73
tissues	#73
methylated	#72
revealed	#72
patterns	#72
frequent	#72
indicator	#70
functions	#70
stimulates	#70
mutated	#69
inactivation	#69
caused	#68
women	#67
predictor	#67
importance	#66
mediated	#66
screening	#65
hypermethylation	#65
regulator	#64
survival	#64
samples	#64
accumulation	#64
tested	#64
occur	#62
families	#61
seen	#61
transfection	#60
profile	#60
changes	#60
incidence	#60
pathways	#60
studies	#60
antigens	#59
suggest	#59
evaluate	#58
profiles	#58
tumours	#58
potential	#58
amplified	#57
mechanism	#56
regulate	#55
produced	#55
transcription	#55
staining	#55
negative	#54
syndrome	#53
loci	#53
occurs	#53
conclusions	#53
characterized	#52
investigate	#52
binding	#52
reduces	#52
stage	#51
amplification	#51
content	#51
genotype	#51
concentration	#50
confirmed	#50
modulates	#49
models	#49
reduction	#49
depletion	#49
ratio	#49
specimens	#48
locus	#48
promoter	#48
features	#47
over-expression	#47
action	#47
diagnosed	#46
identification	#46
variant	#46
predispose	#45
similar	#45
exhibit	#45
protects	#44
decrease	#44
developed	#44
expresses	#44
required	#43
considered	#43
values	#43
altered	#43
transporters	#43
antibody	#43
mediates	#43
low	#42
responsible	#42
stimulation	#42
conclusion	#42
modulation	#42
molecule	#42
suppress	#42
quantified	#42
product	#41
strategy	#41
er	#41
act	#41
genotypes	#41
produce	#40
silenced	#40
xenografts	#40
lost	#40
sensitive	#40
mcf-7	#39
correlate	#39
candidate	#39
affect	#39
estrogen	#39
responses	#39
resistant	#38
activates	#38
useful	#38
immunostained	#38
diagnosis	#38
susceptibility	#38
demonstrate	#38
oncogene	#37
causes	#37
system	#37
efficacy	#37
combination	#36
relation	#36
assayed	#36
influences	#36
region	#36
sensitize	#36
subset	#36
,	#35
transporter	#35
immunoreactivity	#35
adhesion	#35
interactions	#35
modulate	#34
included	#34
confers	#34
phenotype	#34
investigation	#34
carcinogenesis	#33
therapies	#33
appears	#33
inactivated	#32
panel	#32
reductase	#32
development	#32
lack	#32
cause	#32
displayed	#32
adenocarcinomas	#32
allele	#32
serve	#32
neoplasms	#32
detectable	#32
carried	#32
comparison	#31
effective	#31
examine	#31
assessment	#31
data	#31
control	#31
a	#30
noted	#30
rare	#30
relationships	#30
adenocarcinoma	#30
determine	#30
link	#30
predicts	#30
characteristics	#30
suggested	#30
acts	#30
inhibiting	#30
alteration	#29
alpha	#29
staging	#29
predict	#29
damage	#29
described	#29
contain	#29
activities	#28
provide	#28
classification	#28
active	#28
molecules	#28
i	#27
melanoma	#27
restoration	#27
specific	#27
imaging	#27
contained	#27
deregulated	#27
identifies	#27
series	#27
affects	#27
regulating	#27
dependent	#27
isolated	#27
established	#27
stimulated	#27
tissue	#27
complex	#27
feature	#27
mechanisms	#27
overexpress	#26
d	#26
co-expressed	#26
led	#26
occurred	#26
metastases	#26
subtypes	#26
absent	#26
downregulates	#26
resulted	#26
exposure	#26
coexpressed	#26
snps	#26
determinant	#26
frequencies	#26
indicate	#26
isoforms	#26
sequenced	#26
report	#26
expressing	#25
encoding	#25
release	#25
indicated	#25
risks	#25
essential	#25
underexpressed	#25
assay	#25
actions	#25
hypermethylated	#25
account	#25
dysregulated	#25
application	#25
bound	#25
enhance	#24
activator	#24
cancer-1	#24
occurrence	#24
confer	#24
introduced	#24
analyses	#24
elevation	#24
abundant	#24
death	#24
validated	#24
differentiate	#24
transcripts	#24
overexpressing	#24
implications	#23
